month,year,usd_try,xau_tryg,min_wage_try
04,2020,6.99,381.19,2324.70
05,2020,6.80,392.81,2324.70
06,2020,6.85,442.91,2324.70
07,2020,6.97,465.54,2324.70
08,2020,7.35,468.68,2324.70
09,2020,7.71,506.60,2324.70
10,2020,8.30,447.83,2324.70
11,2020,7.82,454.12,2324.70
12,2020,7.43,434.59,2324.70
01,2021,7.28,415.07,2825.90
02,2021,7.41,453.45,2825.90
03,2021,8.24,471.48,2825.90
04,2021,8.18,520.96,2825.90
05,2021,8.49,494.92,2825.90
06,2021,8.70,493.07,2825.90
07,2021,8.45,485.43,2825.90
08,2021,8.30,501.02,2825.90
09,2021,8.89,548.95,2825.90
10,2021,9.58,770.06,2825.90
11,2021,13.50,779.68,2825.90
12,2021,13.29,769.08,2825.90
01,2022,13.30,848.68,4253.40
02,2022,13.79,913.77,4253.40
03,2022,14.67,905.37,4253.40
04,2022,14.79,968.45,4253.40
05,2022,16.38,970.14,4253.40
06,2022,16.69,1015.74,4253.40
07,2022,17.92,999.73,5500.35
08,2022,18.19,987.69,5500.35
09,2022,18.50,977.26,5500.35
10,2022,18.62,1062.59,5500.35
11,2022,18.63,1096.93,5500.35
12,2022,18.70,1165.67,5500.35
01,2023,18.80,1108.61,8506.80
02,2023,18.88,1214.35,8506.80
03,2023,19.18,1242.82,8506.80
04,2023,19.45,1312.42,8506.80
05,2023,20.79,1575.04,8506.80
06,2023,26.04,1701.08,8506.80
07,2023,26.93,1665.03,11402.32
08,2023,26.69,1629.16,11402.32
09,2023,27.46,1805.39,11402.32
10,2023,28.30,1895.00,11402.32
11,2023,28.89,1954.96,11402.32
12,2023,29.02,1991.52,11402.32
01,2024,30.36,2056.98,17002.00
02,2024,31.28,2340.66,17002.00
03,2024,32.42,2386.96,17002.00
04,2024,32.40,2408.35,17002.00
05,2024,32.24,2449.99,17002.00
06,2024,32.77,2609.34,17002.00
07,2024,33.18,2743.60,17002.00
08,2024,34.08,2885.43,17002.00
09,2024,34.14,2900.00,17002.00
